"ID","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Complain","Response","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency"
3381,70,0,16,0,0,4,2,2,0,4,6,0,0,1953,"Master","Married",54348,1,1,"08/06/2014",51
8268,352,0,27,10,0,15,3,6,1,7,6,0,0,1961,"PhD","Married",NA,0,1,"11/07/2013",23
11051,492,19,110,16,12,12,4,6,3,10,4,0,0,1956,"PhD","Together",77376,1,1,"10/05/2014",72
8026,120,58,73,65,89,58,5,5,4,5,5,0,0,1952,"Graduation","Married",62998,0,1,"30/09/2013",10
433,534,5,47,0,5,41,5,11,1,6,8,0,0,1958,"Master","Alone",61331,1,1,"10/03/2013",42
9597,236,106,189,23,41,130,1,7,2,9,4,0,0,1969,"Graduation","Married",73448,0,0,"10/02/2014",10
1295,231,65,196,38,71,124,1,6,5,7,4,0,0,1963,"Graduation","Married",NA,0,1,"11/08/2013",96
5290,220,0,33,3,0,23,5,5,1,5,8,0,0,1964,"PhD","Married",41551,1,1,"14/08/2013",51
1685,796,14,590,38,44,0,1,4,5,13,3,0,0,1967,"PhD","Together",62981,0,0,"17/03/2013",21
5342,0,1,3,10,6,9,2,1,0,3,8,0,0,1976,"Basic","Divorced",9548,1,0,"08/08/2012",31
9579,53,1,34,2,0,16,3,2,2,2,8,0,0,1959,"PhD","Married",33762,2,1,"07/07/2013",61
7660,15,0,8,4,2,20,2,1,1,2,5,0,1,1973,"PhD","Alone",35860,1,1,"19/05/2014",37
1461,17,1,12,3,1,4,2,2,0,3,7,0,0,1965,"PhD","Divorced",36921,1,1,"28/07/2013",74
821,962,61,921,52,61,20,1,5,4,12,2,0,0,1992,"Master","Single",92859,0,0,"19/10/2012",46
11084,738,0,232,13,20,50,2,3,5,7,7,0,1,1976,"Master","Together",65104,0,1,"14/11/2013",4
8690,399,28,756,36,40,126,1,5,7,10,2,0,0,1962,"Graduation","Married",86111,0,0,"19/04/2013",73
2937,614,16,132,43,33,33,3,8,5,9,6,0,0,1974,"PhD","Single",68352,0,1,"28/08/2013",47
9701,32,34,41,73,16,116,3,4,2,3,7,0,0,1988,"Graduation","Together",41883,1,0,"19/03/2013",13
9949,598,16,141,32,41,49,3,3,3,6,8,0,0,1976,"Graduation","Married",59809,0,2,"18/10/2012",36
10837,2,1,18,20,11,16,1,2,0,3,6,0,1,1975,"Graduation","Married",23957,1,0,"28/10/2012",47
3120,6,1,10,0,1,4,1,1,0,2,8,1,0,1981,"Graduation","Together",38547,1,0,"28/08/2013",49
5885,73,3,90,12,1,32,7,4,1,4,8,0,0,1973,"2n Cycle","Married",35688,2,1,"22/08/2012",94
4050,42,16,29,12,20,8,1,2,1,4,3,0,0,1966,"Master","Married",49605,0,0,"21/06/2014",65
3830,295,21,78,39,13,13,1,4,4,7,3,0,0,1953,"Master","Married",59354,0,2,"24/04/2014",59
7987,346,17,48,23,13,13,4,8,1,6,6,0,0,1969,"Graduation","Married",65747,0,1,"07/03/2014",96
7798,233,20,57,8,20,91,4,7,1,5,7,0,0,1972,"2n Cycle","Together",46344,0,1,"14/12/2012",28
92,5,7,24,19,14,20,4,3,0,4,6,0,0,1988,"Graduation","Alone",34176,1,0,"12/05/2014",12
7055,888,0,57,0,0,76,2,8,5,11,5,0,0,1952,"PhD","Together",61010,0,1,"09/10/2012",57
10240,997,26,269,34,13,42,1,10,4,6,4,0,1,1949,"Graduation","Together",69372,0,0,"19/02/2013",10
3025,212,6,69,4,12,3,3,6,1,5,7,0,0,1958,"Graduation","Single",49967,0,1,"08/07/2013",4
9283,8,1,7,2,0,0,1,0,0,3,4,0,0,1978,"Graduation","Single",60199,1,2,"12/09/2013",49
9970,42,11,57,10,28,14,1,1,1,6,2,0,0,1977,"Graduation","Together",55375,0,1,"17/10/2013",3
2730,536,11,387,149,91,57,1,3,4,10,1,0,0,1955,"Graduation","Single",80317,0,0,"20/08/2013",64
2795,5,0,3,0,0,5,1,1,0,2,7,0,0,1958,"Master","Single",30523,2,1,"01/07/2013",0
9260,1349,16,249,43,16,33,2,10,6,9,6,0,0,1945,"PhD","Married",70356,0,0,"05/11/2012",20
8182,53,3,49,7,4,5,4,3,0,4,8,0,0,1984,"Graduation","Married",23228,1,0,"05/01/2014",91
10095,1001,12,240,16,12,12,1,5,4,10,2,0,0,1975,"PhD","Divorced",74165,0,0,"01/05/2013",9
8475,20,2,1582,1,2,1,15,0,22,0,0,0,0,1973,"PhD","Married",157243,0,1,"01/03/2014",98
4370,18,1,32,6,3,28,3,2,0,4,6,0,0,1966,"Graduation","Together",43482,2,1,"13/11/2013",83
10573,125,16,98,134,21,27,1,6,7,4,3,0,0,1953,"Graduation","Divorced",62551,0,0,"18/11/2013",27
3712,212,5,33,7,0,2,1,3,2,6,4,0,0,1959,"Graduation","Divorced",52332,0,0,"28/08/2013",63
6637,277,162,305,173,76,124,1,3,4,7,1,0,0,1988,"Graduation","Single",66951,0,0,"02/11/2013",46
3152,15,10,19,8,17,20,3,2,1,3,5,0,0,1957,"Graduation","Together",26091,1,1,"25/02/2014",84
5610,7,3,10,8,1,7,2,1,0,3,7,0,0,1965,"Graduation","Together",33456,1,1,"21/04/2014",58
6460,12,4,6,11,8,16,2,2,0,3,8,0,0,1982,"Graduation","Married",28718,1,0,"13/07/2013",78
1349,85,7,24,2,3,27,1,3,1,3,6,0,0,1970,"Graduation","Married",50447,2,0,"21/04/2014",4
1880,81,0,6,0,0,6,2,2,1,3,5,0,0,1959,"PhD","Together",53537,1,1,"30/01/2014",17
641,59,0,12,0,0,48,1,2,2,2,4,0,0,1967,"Graduation","Single",52074,0,1,"04/04/2014",77
8717,1149,71,449,69,71,26,1,11,8,8,5,0,0,1975,"PhD","Married",80427,0,1,"12/09/2012",56
10314,847,66,119,86,89,111,1,9,10,5,4,0,1,1948,"PhD","Married",83837,0,0,"16/12/2012",79
10854,29,0,14,0,0,2,2,2,0,3,7,0,0,1970,"PhD","Married",38853,1,1,"23/05/2014",90
10492,2,0,5,2,0,1,1,0,0,3,2,0,0,1959,"Graduation","Together",38285,2,1,"24/06/2014",96
6935,207,26,447,75,0,223,1,5,7,12,2,0,0,1951,"2n Cycle","Married",78497,0,0,"01/12/2013",44
7698,152,3,22,2,5,7,1,4,1,4,5,0,0,1976,"PhD","Married",51650,0,1,"11/05/2014",81
3559,12,11,10,3,12,9,3,2,1,3,6,0,0,1988,"2n Cycle","Married",16248,1,0,"10/05/2014",77
10562,620,26,195,34,17,141,1,6,4,13,2,0,0,1946,"Master","Married",66835,0,0,"28/09/2013",21
10796,47,1,6,0,0,12,1,1,1,3,6,0,0,1984,"Master","Married",30477,1,0,"22/01/2014",16
2563,1,9,7,2,14,10,1,2,0,3,6,0,0,1961,"Basic","Married",28249,0,0,"15/06/2014",80
3518,10,1,18,10,4,7,1,1,1,2,9,0,0,1983,"Graduation","Married",25271,1,0,"05/12/2012",45
5823,35,0,2,0,0,2,2,1,0,4,5,0,0,1970,"PhD","Single",32303,0,1,"08/03/2014",63
3934,356,0,107,19,9,117,2,7,1,8,5,0,0,1966,"Graduation","Married",61286,0,1,"02/08/2013",34
6982,783,30,537,140,76,15,1,4,10,9,2,0,0,1976,"Graduation","Married",74068,0,0,"19/03/2013",14
6431,42,1,18,3,0,4,2,2,0,3,7,0,0,1964,"PhD","Married",45759,1,1,"23/02/2013",13
9733,1,4,10,29,0,36,1,1,1,2,6,0,0,1978,"Basic","Together",24882,1,0,"09/09/2012",52
5602,466,22,432,147,113,102,1,8,7,12,3,0,0,1989,"PhD","Together",66973,0,0,"17/05/2013",98
7829,15,6,8,7,4,25,1,2,1,2,5,1,0,1900,"2n Cycle","Divorced",36640,1,0,"26/09/2013",99
1324,23,3,21,3,19,22,2,3,0,3,8,0,0,1988,"Graduation","Married",38872,1,0,"30/05/2013",93
326,235,6,45,8,9,12,4,5,1,6,6,0,0,1973,"Graduation","Married",51148,1,1,"18/02/2013",38
7224,10,0,10,3,1,7,2,1,1,2,8,0,0,1977,"Graduation","Married",31353,1,1,"29/12/2013",24
6999,656,16,106,32,16,8,1,7,3,12,3,0,0,1980,"Master","Married",69661,0,0,"13/05/2014",80
9938,519,17,813,27,173,51,1,4,6,6,2,0,0,1954,"Graduation","Married",80067,0,0,"19/09/2013",82
6422,344,189,482,50,33,172,1,5,6,5,2,0,0,1954,"Graduation","Married",86718,0,0,"17/01/2013",20
3182,96,1,79,7,1,79,6,5,1,3,8,0,1,1973,"PhD","Single",46854,1,1,"31/03/2014",81
7300,448,4,34,6,4,39,3,8,1,7,5,0,0,1952,"Graduation","Divorced",69142,0,1,"29/06/2014",50
10424,265,138,553,224,23,92,1,4,4,9,1,0,0,1968,"Graduation","Single",75922,0,0,"09/12/2013",60
8727,587,43,337,42,87,54,3,11,6,9,6,0,0,1978,"Graduation","Divorced",63693,0,1,"14/10/2013",63
2798,763,29,138,76,176,58,0,7,9,10,4,0,1,1977,"PhD","Together",102160,0,0,"02/11/2012",54
1030,22,0,13,0,0,3,2,1,0,3,7,0,0,1965,"PhD","Single",40637,1,1,"17/07/2013",72
624,6,4,1,7,2,15,1,0,1,2,6,0,1,1984,"Master","Single",18890,0,0,"10/11/2012",5
5176,7,6,13,7,6,14,1,1,0,3,9,0,0,1988,"Graduation","Together",29604,1,0,"08/12/2013",88
5552,81,18,113,47,13,21,6,4,2,5,6,0,0,1963,"Master","Divorced",48721,1,1,"13/05/2013",50
868,54,0,7,0,0,4,1,2,0,3,6,0,0,1966,"Graduation","Married",44794,0,1,"08/06/2014",99
380,1170,48,320,42,32,192,5,11,4,9,8,0,1,1954,"Graduation","Divorced",64497,0,1,"10/09/2012",17
2677,72,24,68,65,4,8,5,3,1,6,4,0,0,1956,"Graduation","Together",46097,0,1,"31/03/2013",11
6521,613,22,319,33,102,12,1,4,6,9,1,0,0,1954,"Graduation","Together",77972,0,0,"18/03/2014",18
6927,224,0,30,0,0,10,8,5,1,5,8,0,0,1968,"PhD","Married",44377,1,1,"05/10/2012",70
2877,410,0,59,19,9,44,10,7,1,8,7,0,0,1974,"Master","Together",46014,1,1,"21/01/2013",21
0,239,10,554,254,87,54,1,3,4,9,1,0,0,1985,"Graduation","Married",70951,0,0,"04/05/2013",66
1584,171,7,171,25,19,89,6,8,1,5,8,0,0,1977,"Graduation","Married",41443,1,0,"01/04/2014",79
7264,12,0,4,0,0,1,1,1,0,2,8,0,0,1978,"2n Cycle","Single",52195,2,1,"12/05/2014",2
6274,1076,16,417,42,48,16,1,8,10,6,3,0,0,1948,"Master","Married",83790,0,0,"15/11/2013",81
1377,182,4,33,0,0,66,2,4,1,5,7,0,0,1954,"Master","Widow",44551,0,1,"31/08/2013",24
454,824,32,162,42,32,43,2,11,4,11,6,0,0,1980,"Graduation","Together",69508,1,0,"14/11/2012",48
1755,30,11,25,29,1,18,1,1,1,4,3,0,0,1988,"2n Cycle","Together",45204,1,0,"11/04/2014",93
2075,377,10,540,80,30,10,1,3,5,7,1,0,0,1969,"Graduation","Married",72460,0,0,"14/11/2013",56
4785,520,7,154,19,0,14,2,6,3,11,3,0,0,1970,"PhD","Together",77622,0,2,"14/04/2014",3
9076,155,1,25,0,1,3,4,4,1,4,8,0,0,1980,"PhD","Married",30732,1,0,"05/01/2013",44
7079,897,23,207,15,11,92,5,9,6,12,6,0,0,1962,"Graduation","Divorced",63887,0,1,"08/09/2012",38
4653,131,0,16,2,1,39,4,3,1,4,8,0,0,1978,"Graduation","Together",42011,1,0,"26/03/2013",46
7375,297,7,79,0,11,182,2,8,2,4,8,0,0,1976,"Graduation","Together",51369,0,1,"25/10/2012",84
709,787,20,204,0,0,92,3,2,2,11,8,0,0,1952,"Graduation","Divorced",51537,0,1,"09/12/2012",27
460,792,86,740,67,51,17,1,3,5,8,2,0,0,1972,"PhD","Married",79930,0,0,"08/08/2012",72
3726,4,1,9,3,0,0,1,1,0,2,8,0,0,1986,"PhD","Together",34320,1,0,"16/02/2014",66
6798,231,7,137,4,15,39,9,5,1,8,7,0,1,1966,"Graduation","Single",37070,1,1,"20/03/2013",30
5341,983,76,184,180,138,27,1,6,3,4,7,0,0,1962,"2n Cycle","Divorced",81975,0,1,"05/01/2013",2
1606,3,1,8,4,3,3,1,1,0,2,8,0,0,1971,"Graduation","Together",38590,1,0,"15/05/2013",65
9617,0,4,5,6,0,4,1,1,0,3,3,0,0,1951,"Graduation","Single",15033,0,0,"16/04/2014",37
3233,562,21,464,28,10,32,3,7,8,11,5,0,0,1965,"PhD","Married",62745,0,1,"23/03/2013",89
89,5,9,20,6,8,21,2,2,0,4,6,0,0,1975,"2n Cycle","Married",22212,1,0,"09/12/2013",49
